court,category,count,type,region,year,female_combined,male_combined,total_combined
Акталинский р/суд,girl,0.0,victim,,2022,,,
Нарынский р/суд,girl,1.0,victim,,2022,,,
Таласский г/суд,girl,1.0,victim,,2022,,,
Таласский р/суд,girl,1.0,victim,,2022,,,
Бакай-Атинский р/суд,girl,0.0,victim,,2022,,,
Айтматовский р/суд,girl,0.0,victim,,2022,,,
Манасский р/суд,girl,0.0,victim,,2022,,,
Кадамжайский р/суд,girl,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,girl,1.0,victim,,2022,,,
Лейлекский р/суд,girl,0.0,victim,,2022,,,
Баткенский р/суд,girl,0.0,victim,,2022,,,
Сулюктинский р/суд,girl,0.0,victim,,2022,,,
Итого ,girl,18.0,victim,,2022,,,
Свердловский р/суд,age_0_7,0.0,victim,,2022,,,
Аламудунский р/суд,age_0_7,0.0,victim,,2022,,,
Сокулукский р/суд,age_0_7,0.0,victim,,2022,,,
Жайылский р/суд,age_0_7,0.0,victim,,2022,,,
Чуйский р/суд,age_0_7,0.0,victim,,2022,,,
Московский р/суд,age_0_7,0.0,victim,,2022,,,
Иссык-Атинский р/суд,age_0_7,0.0,victim,,2022,,,
Кеминский р/суд,age_0_7,0.0,victim,,2022,,,
Панфиловский р/суд,age_0_7,0.0,victim,,2022,,,
Токмокский г/суд,age_0_7,0.0,victim,,2022,,,
Ак-Сууйский р/суд,age_0_7,0.0,victim,,2022,,,
Иссык-Кульский р/суд,age_0_7,0.0,victim,,2022,,,
